	B.cell	Cardiac.Muscle	Endothelial.cell	Epidermis	Epithelial.cell	Erythrocyte	Granulocyte	Hepatocyte	Monocyte	NK.cell	Stromal.cell	T.cell
B.cells_marginal_zone	0.9322	0	6.00E-04	0.0032	0.002	0.0274	0.006	0.0056	0.0119	0.0034	0.0014	0.0063
NK_cells	0.008	0.0028	0	0.0024	0.0086	0.044	0.0044	0.0015	0.0282	0.8983	0.0018	0
T.cells_CD4.	0.094	0.0011	0	0.0123	0.0114	0.0291	0.0014	0.0048	0.0261	0.0388	0.0033	0.7778
T.cells_CD8.	0.0742	9.00E-04	0	0.0069	0.0177	0.0171	0.0015	0.0051	0.0156	0.1236	0.0034	0.7339
T.cells_foxP3.	0.1804	0	0	0.0116	0.0138	0.039	0.0099	0.0049	0.043	0.0693	0.0014	0.6266
epidermis	0.0029	0.0478	0.0258	0.8162	0.0047	0.0125	0.0172	0.0016	0.028	9.00E-04	0.0358	0.0066
follicular_B.cells	0.9262	0	4.00E-04	3.00E-04	5.00E-04	0.0482	2.00E-04	4.00E-04	0.0181	1.00E-04	0.0016	0.0042
granulo_mono_progenitor	0.0617	0.0047	0.0045	0.0161	0.0344	0.2034	0.2216	0.0139	0.3061	0.0838	0.0213	0.0284
granulocytes_mac1.gr1.	0.0414	0.0023	0.0032	0.0062	0.0076	0.0504	0.7505	0.0069	0.1131	0.0064	0.0051	0.0072
heart	0.0104	0.7228	0.1108	0.0045	0.0054	0.0389	0	0.0027	0.0499	0.0048	0.0404	0.0094
intestine_large	0	0.0013	0.0047	0.0047	0.9566	0	0.0038	9.00E-04	0.0079	0	0.0202	0
intestine_small	0.0151	0.0011	0.0268	0.0039	0.826	0	0.0111	0.0525	0.0244	0.0061	0.0121	0.0209
liver	0.0122	0.0011	0.0119	0.0031	0.0123	0.0634	0	0.8391	0.039	9.00E-04	0.0069	0.01
lung	4.00E-04	0.0103	0.4735	0.0015	0.0162	0.1298	0.1046	0.0391	0.0826	0.001	0.1387	0.0023
lymph_nodes	0.4049	0	0.0573	0.0019	0	0.0039	0	3.00E-04	0.2665	0.0284	0.0299	0.207
macrophage_bone_marrow_0hr	0.0695	0.0031	0.0041	0.0031	0.0098	0.0703	0.0442	0.0023	0.7817	0	0.0034	0.0084
macrophage_bone_marrow_24h_LPS	0.0614	0.0064	0.0012	0.0057	0.0133	0.1204	0.1239	0.0028	0.5479	0.099	0.0093	0.0088
macrophage_bone_marrow_2hr_LPS	0.0552	0.0037	0.0022	0.0033	0.0101	0.2468	0.0797	0.0025	0.5798	3.00E-04	0.0046	0.0116
macrophage_bone_marrow_6hr_LPS	0.0626	0.0047	0.0056	0.0055	0.0141	0.0798	0.1826	0.0036	0.5695	0.0507	0.0072	0.014
macrophage_peri_LPS_thio_0hrs	0.2002	0.0037	0.004	0.0073	0.0133	0.0986	0.0562	0.0029	0.5575	9.00E-04	0.0258	0.0296
macrophage_peri_LPS_thio_1hrs	0.2108	0.0066	0.0057	0.0084	0.0356	0.0905	0.068	0.0031	0.5146	0.005	0.0228	0.0289
macrophage_peri_LPS_thio_7hrs	0.2601	0.0021	0.0034	0.005	0.0192	0.1568	0.0927	0.0055	0.3208	0.1051	0.0162	0.0131
mega_erythrocyte_progenitor	0.2543	0.0202	0.0223	0.0261	0.127	0.2314	0.0163	0.0242	0.1909	0.0108	0.0285	0.0478
microglia	0.0428	0.0031	0.0024	0.0026	0.0181	0.0347	0.1373	0.0031	0.7332	0	0.0104	0.0122
skeletal_muscle	0.028	0.5977	0.1099	0.0039	0.0328	0.0123	0	0.0026	0.0565	0.0026	0.1315	0.0222
spleen	0.6171	0	0.0342	1.00E-04	0	0.0385	0.0056	4.00E-04	0.1577	0.0237	0.0229	0.0997
stem_cells__HSC	0.4106	0.0012	0.07	0.0176	0.0616	0.0679	0.0616	0.012	0.1143	0.0644	0.0208	0.0979
thymocyte_DP_CD4.CD8.	0.0211	0.0012	0	0.0043	0.011	0.0288	0.0128	0.0048	0.0106	0	4.00E-04	0.905
thymocyte_SP_CD4.	0.0408	0.0015	0	0.0115	0.005	0.024	5.00E-04	0.0088	0.0253	0.0795	0.0012	0.8018
thymocyte_SP_CD8.	0.0263	0.0031	0	0.0073	0.0063	0.0196	8.00E-04	0.0074	0.0184	0.1087	0.001	0.8012
