CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT
A	0.3669	0.1912	0.1098	0.0733	0.0704	1e-04	0.1275	0.0608	0
B	0.3668	0.1856	0.148	0.0506	0.0441	0	0.1129	0.0922	0
C	0.0585	0.0475	0.0891	0.359	0.3238	0	0.0769	0	0.0452
D	0.0515	0.0442	0.073	0.2842	0.3513	0.0753	0.0718	0.0488	0
E	0.115	0.0626	0	0.2155	0.0752	0	0.1401	0.3152	0.0764
F	0.2058	0.0674	0.1082	0	0.0434	0	0.5752	0	0
G	0.5819	0.1717	0.1378	0	0	0.0098	0.0598	0.0153	0.0237
H	0.6967	0.092	0.0187	0	0.1092	0.0185	0.0365	0.0284	0
I	0.7113	0.104	0.029	0	0.0232	0.0338	0.0419	0.0568	0
J	0.0101	0.0462	0.3564	0.2394	0.2131	0.055	0.0397	0.0402	0
K	0.0307	0.0544	0.0714	0.19	0.0154	0	0.1005	0.3989	0.1388
L	0.063	0.0365	0.6121	0.1925	0	0.0282	0.0635	0.0042	0
