B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils
A	0.0857	0.0379	0.0106	0.1046	0.0558	0.0594	0.0144	0.0461	0.0272	0.0404	0.0941	0.0656	0.2133	0	0.004	0.0498	0.0164	0.0269	0	0.0091	0.0178	0.0209
B	0.0766	0.0474	0.0115	0.1019	0.0579	0.0573	0.0197	0.0422	0.0261	0.0537	0.0803	0.0681	0.2223	0	8e-04	0.0441	0.0114	0.0311	0	0.0102	0.0151	0.0221
C	0.035	0	0	0.0828	0.2111	0.2739	0.0621	0.0527	0.1024	0.0483	0.0412	0.045	0.0019	0	0	0	0	0.0156	0	0	0.0157	0.0125
D	0.0346	0	0	0.0955	0.2064	0.2812	0.0567	0.0476	0.0973	0.024	0.0627	0.0451	0.0111	0	0	0	6e-04	0.0156	0	0	0.0169	0.0048
E	0.0099	0.0182	0	0.3903	0.0637	0.0597	0.034	0.0347	0.054	0.1028	0.0713	0.076	0.0378	0	0.0058	0.0028	0.002	0.0082	0	6e-04	0.0154	0.0129
F	0.0071	0.0249	0.0014	0	0.0041	0.0322	0	0.0256	0.0601	0.1365	0.4762	0.1075	0.0644	0	0	0.0301	0.0017	0	0	0	0.0152	0.0131
G	0.051	0.0486	0.0196	0.0083	0.0582	0.0114	0.0353	0.0236	0.0056	0	0.0914	0	0.2628	0	0.0048	0.0781	0	0.0199	0	0.0297	0.0363	0.2154
H	0.017	0.0433	0.0038	0.0373	0.0114	0	0.0316	0.0306	0	0	0	0.0039	0.5538	3e-04	0.0207	0.0789	0.0125	0.0434	0	0.0614	0.0482	0.002
I	0.0161	0.0483	0.003	0.0298	0.0154	0.0025	0.0312	0.028	0	0	0	0.0048	0.5557	0.004	0.0164	0.0855	0.0075	0.0456	0	0.0588	0.0476	0
J	0.0338	0	0	0.0513	0.2254	0.3386	0.0767	0.0674	0.1092	0	0.0202	0.0349	0	0	0	0	7e-04	0.0158	0	0	0.0248	0.001
K	0.0105	0.0115	0.01	0.4864	0.0658	0.0657	0.0455	0.0363	0.0687	0.0838	0.0127	0.0755	0	0	0.0044	0	0	0.0046	0.0017	0	0.0169	0
L	0.0088	0	0	0	0.0811	0.4054	0.0849	0.0899	0.1025	0	0.1101	0	0	0	0	0	0.0044	0.0093	0.058	0	0.0456	0
