Cell Type	CD14_positive_monocyte	CD16_positive_monocyte	CD4_positive_alpha_beta_T_cell	CD56bright_natural_killer_cell	CD56dim_natural_killer_cell	CD8_positive_alpha_beta_T_cell	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	macrophage_m0	macrophage_m1	macrophage_m2	memory_B_cell	myeloid_dendritic_cell	naive_B_cell	neutrophil	plasma_cell	plasmacytoid_dendritic_cell
A	0.137696	0.142885	0.222661	0.07106	0.0	0.054348	0.0	0.103997	0.0	0.0	0.0	0.0	0.060685	0.036691	0.0	0.066583	0.103393	0.0	0.0	0.0
B	0.141897	0.148908	0.188145	0.074973	0.0	0.085113	0.0	0.095648	0.0	0.0	0.0	0.0	0.06514	0.037031	0.011454	0.046113	0.105577	0.0	0.0	0.0
C	0.0	0.04672	0.60476	0.026688	0.0	0.106265	0.0	0.110198	0.0	0.0	0.0	0.0	0.017631	0.041907	0.0	0.034954	0.010876	0.0	0.0	0.0
D	0.0	0.053293	0.612143	0.022816	0.0	0.084863	0.0	0.120562	0.0	0.0	0.0	0.0	0.029267	0.007359	0.0	0.069696	0.0	0.0	0.0	0.0
E	0.0	0.082665	0.16732	0.14061	0.0	0.348357	0.0	0.095027	0.0	0.0	0.0	0.0	0.041095	0.0	0.022273	0.079914	0.0126	0.0	0.0	0.010141
F	0.0	0.172144	0.0	0.4105	0.0	0.13955	0.0	0.107879	0.0	0.0	0.0	0.0	0.013795	0.050483	0.0197	0.033501	0.043956	0.0	0.008492	0.0
G	0.19004	0.153364	0.089118	0.0	0.0	0.0	0.0	0.123245	0.0	0.0	0.0	0.0	0.075605	0.014678	0.0	0.072927	0.082974	0.198049	0.0	0.0
H	0.368525	0.211456	0.063846	0.0	0.0	0.0	0.0	0.095179	0.0	0.0	0.0	0.0	0.107875	0.0189	0.0	0.052407	0.045081	0.0	0.0	0.036731
I	0.374239	0.206381	0.053069	0.0	0.0	0.0	0.0	0.085591	0.0	0.0	0.0	0.0	0.102559	0.016959	0.0	0.075642	0.064911	0.0	0.0	0.02065
J	0.0	0.007791	0.744003	0.0	0.0	0.0	0.0	0.109819	0.0	0.0	0.0	0.0	0.024978	0.0	0.02222	0.082699	0.0	0.0	0.0	0.008489
K	0.0	0.032381	0.221464	0.110558	0.0	0.380928	0.0	0.095354	0.0	0.0	0.0	0.0	0.014934	0.002202	0.050196	0.066105	0.010645	0.0	0.0011	0.014134
L	0.0	0.01495	0.738282	0.0	0.0	0.0	0.0	0.118918	0.0	0.0	0.0	0.0	0.0463	0.0	0.005692	0.075858	0.0	0.0	0.0	0.0
