Cell Type	CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT
A	0.343666	0.201223	0.112206	0.049375	0.071493	0.022779	0.135123	0.064135	0.0
B	0.349464	0.19909	0.187862	0.013959	0.027031	0.0	0.123305	0.099289	0.0
C	0.057321	0.048236	0.147246	0.300045	0.323603	0.0	0.071828	0.0	0.051721
D	0.047165	0.045961	0.151903	0.223302	0.311528	0.086935	0.075086	0.058118	0.0
E	0.109092	0.064117	0.0	0.207839	0.083993	0.0	0.139178	0.286408	0.109373
F	0.19489	0.068442	0.102782	0.0	0.053563	0.0	0.580324	0.0	0.0
G	0.550628	0.181548	0.135437	0.0	0.0	0.013194	0.075817	0.037085	0.006292
H	0.671461	0.108793	0.049667	0.0	0.094352	0.0	0.050921	0.024806	0.0
I	0.683038	0.120049	0.04965	0.0	0.016129	0.019191	0.059102	0.05284	0.0
J	0.026871	0.042708	0.392475	0.202889	0.200924	0.054556	0.034364	0.045211	0.0
K	0.024996	0.054451	0.10066	0.144603	0.021935	0.0	0.097418	0.395648	0.160289
L	0.048041	0.042616	0.568802	0.171171	0.0	0.085384	0.068384	0.015602	0.0
