	B Cells	Monocytes	NK	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.11457	0.2004	0.19633	0.09856	0.09692	0.16688
B	0.11951	0.20033	0.1891	0.10025	0.12081	0.16359
C	0.05859	0.11051	0.17386	0.02492	0.21672	0.17921
D	0.0595	0.10862	0.18002	0.01959	0.22348	0.1792
E	0.05283	0.14554	0.20373	0.06323	0.08834	0.29924
F	0.06791	0.15359	0.38112	0.08774	0.08772	0.13954
G	0.12	0.19324	0.16469	0.22448	0.11434	0.06277
H	0.11012	0.30298	0.08769	0.10093	0.09886	0.06696
I	0.10492	0.30306	0.08505	0.09545	0.11846	0.06587
J	0.07339	0.0	0.16489	0.0	0.32863	0.0795
K	0.07178	0.0	0.18483	0.0	0.15038	0.34301
L	0.01568	0.07389	0.17991	0.0	0.31529	0.06223
